Kalendertag,Absatz
21-06-2014,24
21-06-2014,24
21-06-2014,24
21-06-2014,120
21-06-2014,24
21-06-2014,168
21-06-2014,72
21-06-2014,10
21-06-2014,60
23-06-2014,114
23-06-2014,180
23-06-2014,192
23-06-2014,96
23-06-2014,72
23-06-2014,20
23-06-2014,24
23-06-2014,2
23-06-2014,1
23-06-2014,2
24-06-2014,48
24-06-2014,48
24-06-2014,264
24-06-2014,72
24-06-2014,24
24-06-2014,144
24-06-2014,20
24-06-2014,20
24-06-2014,20
24-06-2014,100
24-06-2014,72
24-06-2014,96
25-06-2014,72
25-06-2014,216
25-06-2014,96
25-06-2014,24
25-06-2014,40
25-06-2014,20
25-06-2014,48
25-06-2014,0
25-06-2014,0
25-06-2014,3
26-06-2014,48
26-06-2014,264
26-06-2014,0
26-06-2014,24
26-06-2014,120
26-06-2014,60
26-06-2014,20
26-06-2014,24
26-06-2014,80
26-06-2014,100
26-06-2014,48
26-06-2014,10
26-06-2014,0
27-06-2014,72
27-06-2014,72
27-06-2014,144
27-06-2014,264
27-06-2014,48
27-06-2014,60
27-06-2014,40
27-06-2014,48
27-06-2014,24
27-06-2014,-5
27-06-2014,40
28-06-2014,40
28-06-2014,40
28-06-2014,40
28-06-2014,48
28-06-2014,30
28-06-2014,140
30-06-2014,24
30-06-2014,120
30-06-2014,336
30-06-2014,72
30-06-2014,144
30-06-2014,120
30-06-2014,40
30-06-2014,1
30-06-2014,7
30-06-2014,3
30-06-2014,4
30-06-2014,60
01-07-2014,72
01-07-2014,168
01-07-2014,408
01-07-2014,60
01-07-2014,312
01-07-2014,60
01-07-2014,384
01-07-2014,20
01-07-2014,60
01-07-2014,24
01-07-2014,100
01-07-2014,160
01-07-2014,144
01-07-2014,72
01-07-2014,7
01-07-2014,20
01-07-2014,72
02-07-2014,24
02-07-2014,288
02-07-2014,72
02-07-2014,336
02-07-2014,100
02-07-2014,40
02-07-2014,192
02-07-2014,48
02-07-2014,3
02-07-2014,6
02-07-2014,5
03-07-2014,72
03-07-2014,24
03-07-2014,264
03-07-2014,72
03-07-2014,48
03-07-2014,48
03-07-2014,48
03-07-2014,100
03-07-2014,40
03-07-2014,24
03-07-2014,80
03-07-2014,48
03-07-2014,24
03-07-2014,15
03-07-2014,20
03-07-2014,4
04-07-2014,24
04-07-2014,96
04-07-2014,48
04-07-2014,60
04-07-2014,312
04-07-2014,72
04-07-2014,168
04-07-2014,20
04-07-2014,20
04-07-2014,40
04-07-2014,168
05-07-2014,48
05-07-2014,24
05-07-2014,40
05-07-2014,60
05-07-2014,24
05-07-2014,40
05-07-2014,144
05-07-2014,24
07-07-2014,48
07-07-2014,120
07-07-2014,240
07-07-2014,120
07-07-2014,48
07-07-2014,20
07-07-2014,24
07-07-2014,24
07-07-2014,24
07-07-2014,2
07-07-2014,2
07-07-2014,4
07-07-2014,72
08-07-2014,72
08-07-2014,48
08-07-2014,48
08-07-2014,72
08-07-2014,20
08-07-2014,72
08-07-2014,24
08-07-2014,144
08-07-2014,24
08-07-2014,60
08-07-2014,80
08-07-2014,48
08-07-2014,192
08-07-2014,48
09-07-2014,24
09-07-2014,144
09-07-2014,48
09-07-2014,144
09-07-2014,20
09-07-2014,24
09-07-2014,48
09-07-2014,72
09-07-2014,17
09-07-2014,20
09-07-2014,4
10-07-2014,24
10-07-2014,96
10-07-2014,72
10-07-2014,60
10-07-2014,24
10-07-2014,120
10-07-2014,192
10-07-2014,40
10-07-2014,120
10-07-2014,180
10-07-2014,40
10-07-2014,192
10-07-2014,6
10-07-2014,3
10-07-2014,48
11-07-2014,48
